Êý¾ÝÓÉw0x7ceÕûÀí
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,Ç°ÊÕÅÌ¼Û,¸´È¨Òò×Ó,³É½»Á¿,³É½»¶î,²¨¶¯,µØÇø,ÐÐÒµ,ÉÏÊÐÈÕÆÚ,ÍËÊÐÈÕÆÚ
000799.SZ,¾Æ¹í¾Æ,20200618,57.5,57.39,58.0,55.6,57.53,-0.2434,146320.23,830594.4,-0.14000000000000057,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200617,56.61,57.53,58.26,55.66,56.65,1.5534,184176.33,1048316.78,0.8800000000000026,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200616,51.7,56.65,56.65,51.7,51.5,10.0,230470.89,1270415.552,5.149999999999999,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200615,51.16,51.5,52.55,50.65,51.53,-0.0582,138856.74,714892.867,-0.030000000000001137,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200612,49.3,51.53,51.9,49.2,50.53,1.979,137256.2,702748.517,1.0,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200611,51.0081,50.53,52.4225,50.2511,51.795,-2.4423,164696.32,848559.082,-1.2650000000000006,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200610,48.5677,51.795,52.4623,47.9402,49.5439,4.5436,265114.75,1333636.835,2.251100000000001,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200609,54.3847,49.5439,54.3847,49.3148,53.8568,-8.0081,361712.04,1847123.89,-4.312899999999999,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200608,51.3069,53.8568,53.8767,50.53,50.4802,6.689,185855.3,979999.795,3.3765999999999963,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200605,49.6136,50.4802,52.293,49.1156,49.2451,2.5081,187921.5,952287.784,1.2351000000000028,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200604,45.5099,49.2451,49.8029,45.5099,45.4999,8.2312,166526.09,802590.028,3.745200000000004,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200603,45.5597,45.4999,45.7887,44.8425,45.4999,0.0,85258.93,388130.064,0.0,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200602,45.2808,45.4999,46.3963,44.8325,45.3804,0.2633,111219.13,508150.98,0.11949999999999505,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200601,44.5238,45.3804,45.9382,44.0656,43.8265,3.5456,137564.85,622746.592,1.5538999999999987,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200529,43.8464,43.8265,44.9023,43.1293,43.9162,-0.2043,142681.89,630544.608,-0.08970000000000056,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200528,42.1332,43.9162,45.0218,41.8344,41.7946,5.0763,186798.12,825630.933,2.121600000000001,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200527,41.9141,41.7946,42.2527,41.2666,41.7547,0.0956,90288.86,378496.583,0.03990000000000293,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200526,41.4858,41.7547,41.9738,40.7587,41.5953,0.3832,114615.85,476306.707,0.159399999999998,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200525,40.7686,41.5953,42.2428,40.3503,40.8881,1.7296,126605.5,525901.123,0.7072000000000003,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200522,42.1332,40.8881,42.9799,39.922,42.2328,-3.184,202351.34,841274.099,-1.344699999999996,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200521,39.5634,42.2328,42.681,39.5634,39.4439,7.0705,207189.74,862070.653,2.788899999999998,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200520,38.4478,39.4439,40.4798,38.0593,38.3283,2.9106,174283.81,690472.61,1.1156000000000006,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200519,37.5314,38.3283,38.4179,37.1529,37.2525,2.8879,105536.62,402371.037,1.075800000000001,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200518,36.386,37.2525,37.8203,36.2864,36.4159,2.2973,123612.63,460627.249,0.8365999999999971,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200515,37.0234,36.4159,37.133,35.7385,36.7545,-0.9212,120726.19,439544.161,-0.33859999999999957,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200514,36.1071,36.7545,38.0494,36.1071,36.366,1.0683,149817.67,555900.769,0.3885000000000005,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200513,34.9616,36.366,36.4856,34.7923,34.9616,4.017,139639.21,502978.058,1.4044000000000025,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200512,34.862,34.9616,35.2405,34.5034,34.7923,0.4866,76092.11,266521.685,0.16929999999999978,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200511,34.6429,34.7923,35.619,34.5931,34.6229,0.4893,113213.53,397717.059,0.169399999999996,ºþÄÏ,°×¾Æ,19970718,
000799.SZ,¾Æ¹í¾Æ,20200508,34.6528,34.6229,35.36,34.4237,34.6628,-0.1151,124158.62,433632.824,-0.03989999999999583,ºþÄÏ,°×¾Æ,19970718,
