数据由w0x7ce整理
股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,前收盘价,复权因子,成交量,成交额,波动,地区,行业,上市日期,退市日期
002045.SZ,国光电器,20200618,9.18,9.27,9.29,9.11,9.2,0.7609,84372.99,77876.145,0.07000000000000028,广东,元器件,20050523,
002045.SZ,国光电器,20200617,9.3,9.2,9.34,9.07,9.24,-0.4329,93369.64,85445.166,-0.040000000000000924,广东,元器件,20050523,
002045.SZ,国光电器,20200616,9.15,9.24,9.43,9.14,9.05,2.0994,128816.9,119522.406,0.1899999999999995,广东,元器件,20050523,
002045.SZ,国光电器,20200615,9.21,9.05,9.36,9.04,9.29,-2.5834,107153.0,98681.394,-0.23999999999999844,广东,元器件,20050523,
002045.SZ,国光电器,20200612,9.13,9.29,9.36,9.09,9.43,-1.4846,107086.89,99075.423,-0.14000000000000057,广东,元器件,20050523,
002045.SZ,国光电器,20200611,9.7,9.43,9.8,9.43,9.75,-3.2821,137225.0,131357.538,-0.3200000000000003,广东,元器件,20050523,
002045.SZ,国光电器,20200610,9.72,9.75,9.82,9.44,9.68,0.7231,134662.39,129757.061,0.07000000000000028,广东,元器件,20050523,
002045.SZ,国光电器,20200609,9.81,9.68,9.86,9.6,9.81,-1.3252,113869.01,110337.205,-0.13000000000000078,广东,元器件,20050523,
002045.SZ,国光电器,20200608,10.08,9.81,10.28,9.72,9.94,-1.3078,162300.53,161535.436,-0.129999999999999,广东,元器件,20050523,
002045.SZ,国光电器,20200605,10.0,9.94,10.12,9.72,9.96,-0.2008,153701.63,152429.437,-0.02000000000000135,广东,元器件,20050523,
002045.SZ,国光电器,20200604,10.15,9.96,10.21,9.9,10.05,-0.8955,203821.42,204356.549,-0.08999999999999986,广东,元器件,20050523,
002045.SZ,国光电器,20200603,9.97,10.05,10.38,9.86,9.97,0.8024,332609.22,337821.584,0.08000000000000007,广东,元器件,20050523,
002045.SZ,国光电器,20200602,9.62,9.97,10.16,9.57,9.62,3.6383,397008.06,392238.697,0.3500000000000014,广东,元器件,20050523,
002045.SZ,国光电器,20200601,9.0,9.62,9.73,8.91,8.89,8.2115,345732.27,326751.135,0.7299999999999986,广东,元器件,20050523,
002045.SZ,国光电器,20200529,9.09,8.89,9.31,8.89,9.14,-2.7352,195623.0,176371.373,-0.25,广东,元器件,20050523,
002045.SZ,国光电器,20200528,9.29,9.14,9.44,8.97,9.2,-0.6522,242526.21,222372.707,-0.05999999999999872,广东,元器件,20050523,
002045.SZ,国光电器,20200527,9.07,9.2,9.28,8.84,8.94,2.9083,404909.57,369719.28,0.2599999999999998,广东,元器件,20050523,
002045.SZ,国光电器,20200526,8.13,8.94,8.94,8.13,8.13,9.9631,288236.23,252899.589,0.8099999999999987,广东,元器件,20050523,
002045.SZ,国光电器,20200525,8.42,8.13,8.47,8.06,8.52,-4.5775,108318.51,88881.413,-0.3899999999999988,广东,元器件,20050523,
002045.SZ,国光电器,20200522,9.0,8.52,9.03,8.48,9.05,-5.8564,206766.0,179539.527,-0.5300000000000011,广东,元器件,20050523,
002045.SZ,国光电器,20200521,8.76,9.05,9.23,8.75,8.79,2.9579,293586.93,265706.086,0.26000000000000156,广东,元器件,20050523,
002045.SZ,国光电器,20200520,8.65,8.79,8.99,8.53,8.68,1.2673,179931.4,157928.817,0.10999999999999943,广东,元器件,20050523,
002045.SZ,国光电器,20200519,8.64,8.68,8.81,8.63,8.68,0.0,99051.17,86301.372,0.0,广东,元器件,20050523,
002045.SZ,国光电器,20200518,9.0,8.68,9.05,8.48,9.15,-5.1366,216121.06,188616.66,-0.47000000000000064,广东,元器件,20050523,
002045.SZ,国光电器,20200515,8.91,9.15,9.25,8.87,8.92,2.5785,193390.0,175532.076,0.23000000000000043,广东,元器件,20050523,
002045.SZ,国光电器,20200514,8.85,8.92,9.08,8.77,8.89,0.3375,105244.64,93891.798,0.02999999999999936,广东,元器件,20050523,
002045.SZ,国光电器,20200513,8.94,8.89,8.97,8.8,8.91,-0.2245,74386.25,65996.872,-0.019999999999999574,广东,元器件,20050523,
