 ˝æ›”…w0x7ce’˚¿Ì
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,«∞ ’≈Ãº€,∏¥»®“Ú◊”,≥…Ωª¡ø,≥…Ωª∂Ó,≤®∂Ø,µÿ«¯,––“µ,…œ –»’∆⁄,ÕÀ –»’∆⁄
002219.SZ,*ST∫„øµ,20200618,1.37,1.37,1.4,1.32,1.37,0.0,307752.98,41917.814,0.0,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200617,1.34,1.37,1.37,1.33,1.3,5.3846,240626.18,32709.923,0.07000000000000006,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200616,1.27,1.3,1.32,1.27,1.28,1.5625,163587.96,21216.008,0.020000000000000018,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200615,1.3,1.28,1.32,1.26,1.3,-1.5385,278633.48,35926.739,-0.020000000000000018,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200612,1.21,1.3,1.3,1.2,1.24,4.8387,301668.18,38515.778,0.06000000000000005,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200611,1.22,1.24,1.28,1.22,1.24,0.0,185451.83,23246.354,0.0,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200610,1.28,1.24,1.29,1.24,1.3,-4.6154,328646.86,41085.442,-0.06000000000000005,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200609,1.34,1.3,1.34,1.24,1.28,1.5625,596054.06,78034.361,0.020000000000000018,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200608,1.27,1.28,1.28,1.24,1.22,4.918,139487.41,17699.356,0.06000000000000005,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200605,1.16,1.22,1.22,1.14,1.16,5.1724,272359.91,32677.979,0.06000000000000005,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200604,1.12,1.16,1.17,1.11,1.14,1.7544,330578.71,37750.527,0.020000000000000018,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200603,1.1,1.14,1.14,1.09,1.09,4.5872,386230.78,43582.393,0.04999999999999982,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200602,1.12,1.09,1.12,1.07,1.11,-1.8018,200769.0,21846.68,-0.020000000000000018,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200601,1.11,1.11,1.14,1.1,1.1,0.9091,208431.27,23180.893,0.010000000000000009,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200529,1.12,1.1,1.13,1.08,1.14,-3.5088,349161.65,38554.685,-0.039999999999999813,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200528,1.11,1.14,1.14,1.09,1.09,4.5872,498680.67,56227.754,0.04999999999999982,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200527,1.02,1.09,1.09,1.02,1.04,4.8077,281148.88,29969.002,0.050000000000000044,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200526,1.0,1.04,1.06,0.96,1.01,2.9703,405884.08,41212.114,0.030000000000000027,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200525,1.05,1.01,1.06,1.01,1.06,-4.717,387678.0,39386.961,-0.050000000000000044,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200522,1.07,1.06,1.12,1.06,1.08,-1.8519,333581.92,36087.347,-0.020000000000000018,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200521,1.06,1.08,1.16,1.06,1.12,-3.5714,497889.93,53776.477,-0.040000000000000036,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200520,1.12,1.12,1.12,1.12,1.18,-5.0847,73132.0,8190.784,-0.05999999999999983,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200519,1.2,1.18,1.21,1.18,1.24,-4.8387,300077.0,35676.26,-0.06000000000000005,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200518,1.14,1.24,1.24,1.12,1.18,5.0847,916239.15,107324.6,0.06000000000000005,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200515,1.18,1.18,1.18,1.18,1.24,-4.8387,61659.0,7275.762,-0.06000000000000005,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200514,1.24,1.24,1.24,1.24,1.31,-5.3435,21285.0,2639.34,-0.07000000000000006,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200513,1.31,1.31,1.31,1.31,1.38,-5.0725,14374.0,1882.994,-0.06999999999999984,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200512,1.38,1.38,1.38,1.38,1.45,-4.8276,14841.0,2048.058,-0.07000000000000006,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200511,1.45,1.45,1.45,1.45,1.53,-5.2288,23383.0,3390.535,-0.08000000000000007,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200508,1.53,1.53,1.53,1.53,1.61,-4.9689,33389.0,5108.517,-0.08000000000000007,∏ À‡,÷–≥…“©,20080306,
002219.SZ,*ST∫„øµ,20200507,1.61,1.61,1.61,1.61,1.69,-4.7337,44348.0,7140.028,-0.07999999999999985,∏ À‡,÷–≥…“©,20080306,
