 ˝æ›”…w0x7ce’˚¿Ì
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,«∞ ’≈Ãº€,∏¥»®“Ú◊”,≥…Ωª¡ø,≥…Ωª∂Ó,≤®∂Ø,µÿ«¯,––“µ,…œ –»’∆⁄,ÕÀ –»’∆⁄
600255.SH,*ST√Œ÷€,20200618,1.08,1.07,1.08,1.07,1.08,-0.9259,108484.81,11656.432,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200617,1.08,1.08,1.09,1.07,1.09,-0.9174,156260.28,16871.727,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200616,1.08,1.09,1.09,1.08,1.08,0.9259,147146.2,15926.811,0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200615,1.08,1.08,1.09,1.07,1.09,-0.9174,152595.96,16483.879,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200612,1.06,1.09,1.1,1.05,1.07,1.8692,229544.03,24791.553,0.020000000000000018,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200611,1.08,1.07,1.08,1.06,1.08,-0.9259,224194.35,24016.996,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200610,1.09,1.08,1.1,1.08,1.09,-0.9174,142909.61,15514.206,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200609,1.09,1.09,1.1,1.08,1.09,0.0,160457.06,17529.296,0.0,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200608,1.08,1.09,1.09,1.08,1.08,0.9259,150771.51,16354.926,0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200605,1.1,1.08,1.11,1.07,1.1,-1.8182,283415.84,30803.966,-0.020000000000000018,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200604,1.08,1.1,1.11,1.08,1.11,-0.9009,310064.66,33908.745,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200603,1.08,1.11,1.11,1.08,1.06,4.717,514648.66,56702.82,0.050000000000000044,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200602,1.07,1.06,1.08,1.04,1.08,-1.8519,270889.03,28734.336,-0.020000000000000018,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200601,1.15,1.08,1.15,1.07,1.13,-4.4248,887889.43,96955.02,-0.04999999999999982,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200529,1.13,1.13,1.13,1.13,1.08,4.6296,90763.47,10256.272,0.04999999999999982,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200528,1.08,1.08,1.1,1.05,1.05,2.8571,459309.0,49336.089,0.030000000000000027,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200527,1.01,1.05,1.05,1.0,1.0,5.0,271935.39,27987.529,0.050000000000000044,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200526,1.01,1.0,1.01,0.99,1.01,-0.9901,214891.15,21477.801,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200525,0.99,1.01,1.01,0.98,0.99,2.0202,213358.46,21364.008,0.020000000000000018,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200522,0.98,0.99,0.99,0.96,0.98,1.0204,179527.44,17543.463,0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200521,0.97,0.98,1.0,0.96,0.97,1.0309,189722.51,18625.149,0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200520,1.0,0.97,1.0,0.96,1.0,-3.0,248271.99,24466.091,-0.030000000000000027,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200519,1.0,1.0,1.02,1.0,1.01,-0.9901,223614.98,22497.723,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200518,1.01,1.01,1.01,0.99,1.0,1.0,258622.84,25797.528,0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200515,0.99,1.0,1.0,0.98,0.98,2.0408,283358.5,28100.975,0.020000000000000018,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200514,0.99,0.98,1.0,0.97,0.99,-1.0101,308972.17,30411.356,-0.010000000000000009,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200513,0.96,0.99,1.0,0.96,0.96,3.125,432694.28,42547.014,0.030000000000000027,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200512,0.92,0.96,0.98,0.9,0.94,2.1277,726997.26,67632.87,0.020000000000000018,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200511,0.92,0.94,1.01,0.92,0.97,-3.0928,1111836.94,105045.288,-0.030000000000000027,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200508,0.97,0.97,0.97,0.97,1.02,-4.902,176078.0,17079.566,-0.050000000000000044,∞≤ª’,Õ≠,20001122,
600255.SH,*ST√Œ÷€,20200507,1.02,1.02,1.02,1.02,1.07,-4.6729,72424.0,7387.248,-0.050000000000000044,∞≤ª’,Õ≠,20001122,
