Êý¾ÝÓÉw0x7ceÕûÀí
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,Ç°ÊÕÅÌ¼Û,¸´È¨Òò×Ó,³É½»Á¿,³É½»¶î,²¨¶¯,µØÇø,ÐÐÒµ,ÉÏÊÐÈÕÆÚ,ÍËÊÐÈÕÆÚ
600768.SH,Äþ²¨¸»°î,20200618,9.76,9.74,9.81,9.71,9.76,-0.2049,28409.0,27692.68,-0.019999999999999574,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200617,9.88,9.76,9.92,9.73,9.85,-0.9137,33662.0,32952.39,-0.08999999999999986,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200616,9.79,9.85,9.92,9.73,9.7,1.5464,27058.2,26596.909,0.15000000000000036,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200615,9.73,9.7,9.86,9.7,9.81,-1.1213,37362.81,36490.698,-0.11000000000000121,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200612,9.61,9.81,9.9,9.6,9.89,-0.8089,43124.83,42111.784,-0.08000000000000007,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200611,10.11,9.89,10.2,9.85,10.11,-2.1761,50648.0,50772.1,-0.21999999999999886,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200610,10.21,10.11,10.25,10.09,10.29,-1.7493,41165.22,41725.35,-0.17999999999999972,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200609,10.22,10.29,10.34,10.13,10.19,0.9814,49120.44,50265.52,0.09999999999999964,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200608,10.24,10.19,10.39,10.14,10.25,-0.5854,44965.96,46044.034,-0.0600000000000005,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200605,10.47,10.25,10.47,10.12,10.46,-2.0076,68004.0,69967.994,-0.21000000000000085,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200604,10.77,10.46,10.78,10.35,10.77,-2.8784,116822.37,122702.94,-0.3099999999999987,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200603,11.46,10.77,11.46,10.72,11.91,-9.5718,167617.82,185768.791,-1.1400000000000006,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200602,11.92,11.91,12.48,11.85,12.3,-3.1707,106470.56,128411.728,-0.39000000000000057,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200601,11.32,12.3,12.58,10.85,11.8,4.2373,244722.96,292466.692,0.5,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200529,12.0,11.8,12.47,11.48,12.75,-7.451,151369.53,181008.687,-0.9499999999999993,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200528,13.15,12.75,13.15,11.95,11.95,6.6946,341952.82,433904.15,0.8000000000000007,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200527,11.95,11.95,11.95,11.95,10.86,10.0368,70808.77,84616.48,1.0899999999999999,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200526,9.83,10.86,10.86,9.74,9.87,10.0304,108222.86,112264.464,0.9900000000000002,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200525,9.42,9.87,9.92,9.42,9.65,2.2798,36024.38,35120.306,0.21999999999999886,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200522,9.47,9.65,9.66,9.17,9.49,1.686,28985.15,27370.737,0.16000000000000014,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200521,9.4,9.49,9.52,9.32,9.38,1.1727,21488.55,20294.418,0.10999999999999943,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200520,9.34,9.38,9.42,9.25,9.37,0.1067,13269.0,12396.443,0.010000000000001563,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200519,9.33,9.37,9.44,9.27,9.28,0.9698,15518.57,14494.362,0.08999999999999986,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200518,9.28,9.28,9.39,9.2,9.28,0.0,13546.41,12584.979,0.0,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200515,9.35,9.28,9.39,9.27,9.32,-0.4292,10399.41,9673.007,-0.040000000000000924,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200514,9.4,9.32,9.45,9.31,9.42,-1.0616,14462.0,13582.467,-0.09999999999999964,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200513,9.4,9.42,9.43,9.3,9.35,0.7487,16211.68,15174.606,0.07000000000000028,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200512,9.35,9.35,9.41,9.28,9.35,0.0,12677.0,11836.869,0.0,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200511,9.41,9.35,9.46,9.31,9.38,-0.3198,13933.0,13076.34,-0.030000000000001137,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200508,9.3,9.38,9.43,9.3,9.29,0.9688,14775.0,13841.745,0.09000000000000163,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200507,9.35,9.29,9.38,9.27,9.36,-0.7479,14292.57,13315.148,-0.07000000000000028,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200506,9.28,9.36,9.37,9.05,9.2,1.7391,19740.38,18223.467,0.16000000000000014,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200430,9.17,9.2,9.23,9.09,9.1,1.0989,24106.09,22062.166,0.09999999999999964,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200429,9.16,9.1,9.35,9.03,9.21,-1.1944,12869.02,11781.75,-0.11000000000000121,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200428,9.58,9.21,9.59,8.88,9.57,-3.7618,21081.66,19457.233,-0.35999999999999943,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200427,9.69,9.57,9.75,9.54,9.69,-1.2384,13901.0,13347.645,-0.11999999999999922,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200424,9.9,9.69,9.9,9.68,9.9,-2.1212,17020.0,16606.93,-0.21000000000000085,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200423,9.91,9.9,9.98,9.84,9.91,-0.1009,16349.0,16186.358,-0.009999999999999787,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200422,9.83,9.91,9.91,9.75,9.84,0.7114,13615.53,13368.051,0.07000000000000028,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200421,9.86,9.84,9.87,9.7,9.85,-0.1015,15808.74,15454.683,-0.009999999999999787,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200420,9.92,9.85,9.92,9.81,9.87,-0.2026,13902.4,13721.593,-0.019999999999999574,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200417,9.98,9.87,9.98,9.86,9.89,-0.2022,16363.0,16241.991,-0.02000000000000135,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200416,9.99,9.89,9.99,9.8,9.89,0.0,14905.0,14705.574,0.0,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200415,10.04,9.89,10.07,9.87,10.06,-1.6899,19457.0,19384.965,-0.16999999999999993,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200414,9.86,10.06,10.07,9.78,9.8,2.6531,19324.14,19198.125,0.2599999999999998,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200413,10.01,9.8,10.01,9.74,9.96,-1.6064,20655.41,20270.842,-0.16000000000000014,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200410,10.27,9.96,10.28,9.92,10.23,-2.6393,23648.0,23776.122,-0.2699999999999996,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200409,10.33,10.23,10.34,10.2,10.23,0.0,18525.01,18979.209,0.0,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200408,10.11,10.23,10.3,10.08,10.14,0.8876,21193.5,21652.857,0.08999999999999986,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200407,10.01,10.14,10.2,10.01,9.94,2.0121,25408.63,25724.671,0.20000000000000107,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200403,10.04,9.94,10.11,9.87,9.96,-0.2008,17165.49,17175.708,-0.02000000000000135,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200402,9.75,9.96,9.97,9.73,9.83,1.3225,17942.0,17678.247,0.13000000000000078,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200401,10.1,9.83,10.19,9.78,10.1,-2.6733,25118.71,25073.323,-0.2699999999999996,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200331,10.19,10.1,10.45,10.02,10.16,-0.5906,24532.0,24880.395,-0.0600000000000005,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200330,10.45,10.16,10.45,9.93,10.46,-2.8681,44318.1,44818.455,-0.3000000000000007,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200327,10.23,10.46,10.56,10.16,10.17,2.8515,46717.09,48393.276,0.2900000000000009,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200326,10.17,10.17,10.32,10.13,10.19,-0.1963,25633.03,26219.314,-0.019999999999999574,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200325,10.31,10.19,10.36,10.13,10.12,0.6917,26718.0,27279.44,0.07000000000000028,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200324,9.95,10.12,10.16,9.88,9.9,2.2222,24499.17,24624.806,0.21999999999999886,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200323,9.99,9.9,10.07,9.82,10.11,-2.0772,21883.0,21722.754,-0.20999999999999908,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200320,9.83,10.11,10.13,9.83,9.83,2.8484,30186.41,30176.436,0.27999999999999936,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200319,9.58,9.83,9.83,9.45,9.55,2.9319,30168.03,29102.662,0.27999999999999936,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200318,9.73,9.55,9.96,9.54,9.7,-1.5464,29431.0,28807.583,-0.14999999999999858,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200317,9.9,9.7,9.99,9.4,9.82,-1.222,35546.8,34314.483,-0.120000000000001,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200316,10.34,9.82,10.43,9.8,10.22,-3.9139,34727.0,35159.209,-0.40000000000000036,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200313,9.99,10.22,10.35,9.72,10.47,-2.3878,47462.04,47518.532,-0.25,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200312,10.6,10.47,10.66,10.38,10.75,-2.6047,32488.4,34167.375,-0.27999999999999936,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200311,10.88,10.75,11.1,10.75,10.88,-1.1949,42004.41,45940.43,-0.13000000000000078,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200310,10.51,10.88,10.88,10.32,10.73,1.3979,45899.02,48823.249,0.15000000000000036,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200309,11.1,10.73,11.15,10.73,11.28,-4.8759,50505.67,55180.946,-0.5499999999999989,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200306,11.32,11.28,11.38,11.07,11.38,-0.8787,46587.79,52382.807,-0.10000000000000142,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200305,11.48,11.38,11.59,11.28,11.28,0.8865,63174.02,72004.274,0.10000000000000142,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200304,10.71,11.28,11.28,10.63,10.8,4.4444,54402.03,59917.484,0.47999999999999865,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200303,10.71,10.8,11.07,10.66,10.47,3.1519,56020.11,60969.045,0.33000000000000007,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200302,10.19,10.47,10.55,10.19,10.08,3.869,35133.01,36489.061,0.39000000000000057,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200228,10.59,10.08,10.59,10.04,10.82,-6.8392,57977.01,59723.032,-0.7400000000000002,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200227,10.9,10.82,11.06,10.72,10.89,-0.6428,35097.0,38118.589,-0.07000000000000028,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200226,10.8,10.89,11.28,10.71,11.04,-1.3587,56580.62,62339.381,-0.14999999999999858,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200225,11.19,11.04,11.19,10.59,11.42,-3.3275,73275.01,80415.992,-0.3800000000000008,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200224,11.52,11.42,11.52,11.25,11.58,-1.3817,58926.52,67050.29,-0.16000000000000014,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200221,11.32,11.58,11.88,11.32,11.39,1.6681,76175.52,88519.163,0.1899999999999995,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200220,11.25,11.39,11.4,11.11,11.24,1.3345,55647.14,62711.088,0.15000000000000036,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200219,11.19,11.24,11.4,11.12,11.29,-0.4429,48791.01,55104.844,-0.049999999999998934,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200218,11.06,11.29,11.34,11.05,11.15,1.2556,49434.01,55536.304,0.1399999999999988,Õã½­,ÂÁ,19961111,
600768.SH,Äþ²¨¸»°î,20200217,10.88,11.15,11.18,10.8,10.76,3.6245,51269.0,56293.904,0.39000000000000057,Õã½­,ÂÁ,19961111,
