数据由w0x7ce整理
股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,前收盘价,复权因子,成交量,成交额,波动,地区,行业,上市日期,退市日期
601127.SH,小康股份,20200618,8.59,8.5,8.62,8.47,8.59,-1.0477,49794.79,42484.109,-0.08999999999999986,重庆,汽车配件,20160615,
601127.SH,小康股份,20200617,8.62,8.59,8.69,8.53,8.69,-1.1507,60576.16,52012.081,-0.09999999999999964,重庆,汽车配件,20160615,
601127.SH,小康股份,20200616,8.65,8.69,8.74,8.53,8.6,1.0465,78403.73,67553.047,0.08999999999999986,重庆,汽车配件,20160615,
601127.SH,小康股份,20200615,8.86,8.6,8.86,8.6,8.97,-4.1249,113912.22,99236.295,-0.370000000000001,重庆,汽车配件,20160615,
601127.SH,小康股份,20200612,8.91,8.97,9.22,8.75,9.19,-2.3939,136127.48,122181.745,-0.21999999999999886,重庆,汽车配件,20160615,
601127.SH,小康股份,20200611,8.9,9.19,9.36,8.83,8.96,2.567,167326.64,152556.727,0.22999999999999865,重庆,汽车配件,20160615,
601127.SH,小康股份,20200610,8.91,8.96,9.16,8.73,9.28,-3.4483,159410.77,142463.902,-0.3199999999999985,重庆,汽车配件,20160615,
601127.SH,小康股份,20200609,9.59,9.28,9.78,9.28,10.31,-9.9903,219565.77,205945.533,-1.0300000000000011,重庆,汽车配件,20160615,
601127.SH,小康股份,20200608,11.39,10.31,11.39,10.31,11.45,-9.9563,128420.55,135486.771,-1.1399999999999988,重庆,汽车配件,20160615,
601127.SH,小康股份,20200605,10.41,11.45,11.45,10.41,10.41,9.9904,269377.6,297302.878,1.0399999999999991,重庆,汽车配件,20160615,
601127.SH,小康股份,20200604,10.35,10.41,10.41,9.99,9.46,10.0423,230870.56,239210.773,0.9499999999999993,重庆,汽车配件,20160615,
601127.SH,小康股份,20200603,8.8,9.46,9.46,8.43,8.6,10.0,140502.81,126903.984,0.8600000000000012,重庆,汽车配件,20160615,
601127.SH,小康股份,20200602,8.8,8.6,9.1,8.55,8.27,3.9903,69778.62,61011.551,0.33000000000000007,重庆,汽车配件,20160615,
601127.SH,小康股份,20200601,8.05,8.27,8.32,8.05,8.03,2.9888,31161.67,25631.318,0.2400000000000002,重庆,汽车配件,20160615,
601127.SH,小康股份,20200529,7.93,8.03,8.1,7.84,7.9,1.6456,26710.98,21342.228,0.129999999999999,重庆,汽车配件,20160615,
601127.SH,小康股份,20200528,7.93,7.9,8.09,7.85,7.94,-0.5038,20773.86,16542.399,-0.040000000000000036,重庆,汽车配件,20160615,
601127.SH,小康股份,20200527,7.97,7.94,8.02,7.86,7.93,0.1261,12801.0,10168.398,0.010000000000000675,重庆,汽车配件,20160615,
601127.SH,小康股份,20200526,7.9,7.93,8.02,7.87,7.92,0.1263,15352.27,12179.006,0.009999999999999787,重庆,汽车配件,20160615,
601127.SH,小康股份,20200525,7.71,7.92,8.1,7.66,7.75,2.1935,18081.15,14275.15,0.16999999999999993,重庆,汽车配件,20160615,
601127.SH,小康股份,20200522,7.88,7.75,7.88,7.69,7.84,-1.148,11623.0,9015.429,-0.08999999999999986,重庆,汽车配件,20160615,
