杅擂蚕w0x7ce淕燴
嘖き測鎢,嘖き靡備,蝠眢�梪�,羲攫歎,彶攫歎,郔詢歎,郔腴歎,ヶ彶攫歎,葩�例藦�,傖蝠講,傖蝠塗,疏雄,華⑹,俴珛,奻庈�梪�,豖庈�梪�
000012.SZ,鰍產A,20200618,4.66,4.65,4.68,4.61,4.66,-0.2146,122666.62,56968.228,-0.009999999999999787,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200617,4.71,4.66,4.71,4.62,4.7,-0.8511,137480.49,63942.094,-0.040000000000000036,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200616,4.65,4.7,4.72,4.62,4.62,1.7316,169911.79,79234.263,0.08000000000000007,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200615,4.7,4.62,4.72,4.61,4.74,-2.5316,249248.83,116046.126,-0.1200000000000001,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200612,4.7,4.74,4.8,4.66,4.82,-1.6598,221793.91,105049.788,-0.08000000000000007,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200611,4.83,4.82,4.95,4.77,4.81,0.2079,280999.68,136622.492,0.010000000000000675,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200610,4.84,4.81,4.89,4.78,4.84,-0.6198,178866.29,86341.327,-0.03000000000000025,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200609,4.94,4.84,4.96,4.82,4.89,-1.0225,278153.61,135813.003,-0.04999999999999982,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200608,4.66,4.89,4.89,4.66,4.65,5.1613,362935.66,174498.088,0.23999999999999932,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200605,4.68,4.65,4.68,4.62,4.66,-0.2146,83099.9,38624.799,-0.009999999999999787,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200604,4.69,4.66,4.72,4.66,4.67,-0.2141,115999.16,54314.858,-0.009999999999999787,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200603,4.74,4.67,4.78,4.65,4.74,-1.4768,164668.61,77687.88,-0.07000000000000028,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200602,4.68,4.74,4.76,4.65,4.67,1.4989,192873.51,90850.342,0.07000000000000028,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200601,4.57,4.67,4.69,4.56,4.55,2.6374,191376.59,88883.062,0.1200000000000001,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200529,4.56,4.55,4.61,4.55,4.58,-0.655,103394.29,47247.74,-0.03000000000000025,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200528,4.57,4.58,4.61,4.52,4.57,0.2188,77260.55,35310.716,0.009999999999999787,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200527,4.6,4.57,4.61,4.51,4.61,-0.8677,113980.5,51977.958,-0.040000000000000036,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200526,4.59,4.61,4.62,4.55,4.6,0.2174,129787.29,59600.331,0.010000000000000675,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200525,4.56,4.6,4.6,4.51,4.52,1.7699,112228.21,51150.902,0.08000000000000007,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200522,4.61,4.52,4.64,4.51,4.62,-2.1645,133319.67,60775.608,-0.10000000000000053,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200521,4.6,4.62,4.66,4.6,4.59,0.6536,106559.44,49341.899,0.03000000000000025,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200520,4.69,4.59,4.69,4.58,4.69,-2.1322,118323.79,54603.819,-0.10000000000000053,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200519,4.66,4.69,4.7,4.65,4.62,1.5152,127336.28,59541.016,0.07000000000000028,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200518,4.57,4.62,4.67,4.56,4.57,1.0941,149244.43,68995.89,0.04999999999999982,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200515,4.6,4.57,4.65,4.55,4.58,-0.2183,118618.57,54489.922,-0.009999999999999787,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200514,4.65,4.58,4.65,4.57,4.67,-1.9272,127150.0,58522.486,-0.08999999999999986,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200513,4.68,4.67,4.7,4.64,4.71,-0.8493,117413.52,54847.369,-0.040000000000000036,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200512,4.73,4.71,4.73,4.63,4.75,-0.8421,140109.67,65564.506,-0.040000000000000036,旮詀,產薛,19920228,
000012.SZ,鰍產A,20200511,4.73,4.75,4.81,4.68,4.68,1.4957,288225.29,136747.997,0.07000000000000028,旮詀,產薛,19920228,
