Êý¾ÝÓÉw0x7ceÕûÀí
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,Ç°ÊÕÅÌ¼Û,¸´È¨Òò×Ó,³É½»Á¿,³É½»¶î,²¨¶¯,µØÇø,ÐÐÒµ,ÉÏÊÐÈÕÆÚ,ÍËÊÐÈÕÆÚ
000913.SZ,Ç®½­Ä¦ÍÐ,20200618,10.81,11.37,11.37,10.65,10.34,9.9613,227288.75,256204.243,1.0299999999999994,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200617,10.3,10.34,10.43,10.25,10.3,0.3883,26897.45,27764.342,0.03999999999999915,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200616,10.35,10.3,10.43,10.22,10.31,-0.097,43087.92,44329.546,-0.009999999999999787,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200615,10.4,10.31,10.64,10.23,10.37,-0.5786,48061.3,49979.864,-0.05999999999999872,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200612,10.38,10.37,10.51,10.2,10.66,-2.7205,46967.0,48829.702,-0.2900000000000009,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200611,10.7656,10.6599,10.7944,10.5255,10.7367,-0.7153,43287.0,47951.137,-0.07680000000000042,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200610,10.6407,10.7367,10.7656,10.5159,10.6791,0.5394,34328.46,38067.637,0.05760000000000076,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200609,10.4678,10.6791,10.7656,10.4582,10.4582,2.1122,46148.9,50804.772,0.22090000000000032,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200608,10.5063,10.4582,10.6215,10.4102,10.6599,-1.8921,53966.04,58995.342,-0.20170000000000066,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200605,10.9,10.6599,10.9,10.6215,11.0248,-3.3098,87757.77,98124.808,-0.36490000000000045,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200604,11.0152,11.0248,11.4858,10.5255,10.9,1.145,169828.7,193814.174,0.12480000000000047,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200603,10.1797,10.9,11.0441,10.0645,10.1509,7.3796,152520.8,166977.601,0.7491000000000003,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200602,10.1221,10.1509,10.1605,10.0165,10.1221,0.2845,32647.01,34302.932,0.02880000000000038,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200601,10.0741,10.1221,10.1893,10.0165,9.9589,1.6387,48692.55,51228.018,0.1631999999999998,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200529,9.8436,9.9589,9.9589,9.8148,9.882,0.7782,15077.0,15549.329,0.07690000000000019,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200528,9.9877,9.882,10.0069,9.8148,9.9012,-0.1939,24330.0,25033.736,-0.019199999999999662,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200527,10.0357,9.9012,10.1989,9.9012,10.0357,-1.3402,25926.0,27077.379,-0.13450000000000095,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200526,9.7956,10.0357,10.1509,9.7956,10.0069,0.2878,27481.52,28532.59,0.02880000000000038,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200525,10.2566,10.0069,10.439,9.9685,10.2278,-2.1598,38091.01,40203.985,-0.22090000000000032,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200522,10.1701,10.2278,10.4294,10.0357,10.1701,0.5673,51330.0,54963.906,0.05770000000000053,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200521,10.3142,10.1701,10.3526,10.0837,10.2854,-1.121,33874.0,36011.458,-0.11529999999999951,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200520,10.3334,10.2854,10.5159,10.2085,10.1797,1.0383,53684.01,57883.897,0.1056999999999988,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200519,10.0933,10.1797,10.4102,10.0069,10.0837,0.952,55445.05,59029.37,0.09600000000000009,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200518,9.882,10.0837,10.0933,9.7476,9.7956,2.9411,49334.0,51283.117,0.2881,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200515,9.9108,9.7956,9.9781,9.7764,9.9108,-1.1624,28056.0,28750.118,-0.11519999999999975,Õã½­,Ä¦ÍÐ³µ,19990514,
000913.SZ,Ç®½­Ä¦ÍÐ,20200514,10.1605,9.9108,10.1605,9.8916,10.1413,-2.2729,21209.0,22117.57,-0.23049999999999926,Õã½­,Ä¦ÍÐ³µ,19990514,
