数据由w0x7ce整理
股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,前收盘价,复权因子,成交量,成交额,波动,地区,行业,上市日期,退市日期
300211.SZ,亿通科技,20200618,6.54,6.64,6.65,6.53,6.57,1.0654,32000.73,21127.6,0.0699999999999994,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200617,6.49,6.57,6.57,6.48,6.49,1.2327,42428.82,27712.452,0.08000000000000007,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200616,6.4,6.49,6.49,6.38,6.4,1.4062,41820.8,26895.982,0.08999999999999986,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200615,6.42,6.4,6.46,6.36,6.47,-1.0819,52608.94,33700.101,-0.0699999999999994,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200612,6.45,6.47,6.49,6.35,6.55,-1.2214,37728.07,24264.423,-0.08000000000000007,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200611,6.63,6.55,6.66,6.55,6.63,-1.2066,35991.22,23778.868,-0.08000000000000007,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200610,6.73,6.63,6.73,6.6,6.71,-1.1923,27330.1,18134.051,-0.08000000000000007,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200609,6.76,6.71,6.81,6.66,6.79,-1.1782,44330.31,29683.394,-0.08000000000000007,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200608,6.66,6.79,6.88,6.63,6.66,1.952,70267.14,47568.417,0.1299999999999999,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200605,6.61,6.66,6.68,6.56,6.65,0.1504,40997.28,27169.575,0.009999999999999787,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200604,6.8,6.65,6.83,6.62,6.81,-2.3495,78386.64,52382.73,-0.15999999999999925,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200603,6.94,6.81,6.94,6.8,6.92,-1.5896,87139.22,59745.855,-0.11000000000000032,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200602,6.91,6.92,7.03,6.85,7.07,-2.1216,140315.92,97155.573,-0.15000000000000036,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200601,6.88,7.07,7.2,6.88,7.64,-7.4607,250500.57,174823.086,-0.5699999999999994,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200528,7.8772,7.6403,7.9166,7.6008,7.8673,-2.8854,88289.69,68979.509,-0.2270000000000003,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200527,7.8278,7.8673,7.9561,7.7093,7.8278,0.5046,66231.44,52461.515,0.03950000000000031,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200526,7.4922,7.8278,8.045,7.4823,7.4033,5.7339,107830.44,84193.217,0.4245000000000001,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200525,7.2158,7.4033,7.6106,7.0973,7.0973,4.3115,76551.6,57005.115,0.30600000000000005,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200522,7.2553,7.0973,7.3145,6.9986,7.2553,-2.1777,35974.19,26028.585,-0.15800000000000036,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200521,7.5119,7.2553,7.6008,7.2059,7.5317,-3.6698,57496.77,43116.03,-0.27639999999999976,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200520,7.3935,7.5317,7.6205,7.3244,7.3935,1.8692,68024.82,51695.102,0.13819999999999943,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200519,7.3244,7.3935,7.4033,7.2257,7.275,1.6289,36853.94,27291.973,0.11850000000000005,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200518,7.4132,7.275,7.4231,7.2257,7.354,-1.0742,64874.41,48191.898,-0.07899999999999974,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200515,6.969,7.354,7.6699,6.9591,6.969,5.5245,101343.91,75385.859,0.3849999999999998,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200514,7.0085,6.969,7.048,6.9295,7.0579,-1.2596,23060.0,16320.657,-0.08889999999999976,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200513,7.1368,7.0579,7.1368,6.9888,7.1072,-0.6937,23108.9,16489.743,-0.04929999999999968,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200512,7.1961,7.1072,7.2257,7.0184,7.1961,-1.2354,29502.77,21226.379,-0.08890000000000065,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200511,7.2158,7.1961,7.2454,7.1368,7.1566,0.5519,28899.4,21043.187,0.03950000000000031,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200508,7.1664,7.1566,7.2158,7.0973,7.0973,0.8355,34868.1,25298.559,0.05930000000000035,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200507,7.1368,7.0973,7.2257,7.048,7.1171,-0.2782,32700.0,23654.352,-0.01980000000000004,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200506,7.0579,7.1171,7.1368,6.9888,7.0282,1.2649,37452.91,26866.381,0.08889999999999976,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200430,6.7716,7.0282,7.0875,6.7321,6.6334,5.9517,46360.88,32724.743,0.39480000000000004,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200429,6.8111,6.6334,6.8111,6.5939,6.8012,-2.4672,28234.45,19175.672,-0.16779999999999973,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200428,6.8703,6.8012,6.9888,6.2287,6.9197,-1.7125,35172.02,23904.159,-0.11850000000000005,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200427,7.1566,6.9197,7.1566,6.8506,7.1171,-2.7736,27204.0,19341.15,-0.19740000000000002,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200424,7.0085,7.1171,7.127,6.969,7.0677,0.699,36866.32,26424.463,0.049399999999999444,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200423,7.0579,7.0677,7.127,6.9888,7.0776,-0.1399,26403.0,18840.772,-0.00990000000000002,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200422,6.8604,7.0776,7.0973,6.8407,6.9295,2.1372,34290.0,24365.786,0.14810000000000034,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200421,6.8703,6.9295,6.9493,6.7716,6.8703,0.8617,26445.0,18390.519,0.0591999999999997,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200420,6.742,6.8703,6.8802,6.7222,6.742,1.903,17510.72,12085.182,0.1283000000000003,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200417,6.8012,6.742,6.8703,6.742,6.7913,-0.7259,19090.0,13188.371,-0.04929999999999968,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200416,6.8111,6.7913,6.8308,6.7025,6.8111,-0.2907,18521.0,12697.836,-0.01980000000000004,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200415,6.8506,6.8111,6.9789,6.7716,6.8802,-1.0043,23342.38,16274.147,-0.0691000000000006,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200414,6.7321,6.8802,6.9098,6.7321,6.8012,1.1616,19298.27,13380.117,0.07900000000000063,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200413,6.8209,6.8012,6.8999,6.7124,6.89,-1.2888,23312.0,16024.122,-0.08879999999999999,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200410,7.1467,6.89,7.1467,6.8604,7.0973,-2.9208,38289.29,27092.222,-0.20730000000000004,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200409,7.1467,7.0973,7.1763,7.0579,7.0677,0.4188,41593.73,29983.956,0.029599999999999405,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200408,6.8802,7.0677,7.1664,6.7913,6.89,2.5791,46073.0,32833.162,0.17770000000000064,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200407,6.89,6.89,6.9098,6.7716,6.7222,2.4962,28572.0,19801.54,0.16779999999999973,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200403,6.6926,6.7222,6.742,6.584,6.6926,0.4423,27125.81,18336.231,0.029600000000000293,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200402,6.5149,6.6926,6.6926,6.4656,6.5248,2.5717,28586.01,19127.599,0.16779999999999973,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200401,6.5347,6.5248,6.6531,6.4656,6.5544,-0.4516,25208.2,16776.572,-0.029600000000000293,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200331,6.7124,6.5544,6.7716,6.4853,6.6828,-1.9214,28652.6,19262.699,-0.12840000000000007,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200330,6.9197,6.6828,6.9197,6.5149,6.9888,-4.3784,39450.02,26719.064,-0.30600000000000005,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200327,7.1171,6.9888,7.127,6.969,7.0184,-0.4217,37018.12,26365.968,-0.029599999999999405,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200326,7.1467,7.0184,7.1763,6.9888,7.2059,-2.602,42283.16,30398.1,-0.1875,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200325,7.275,7.2059,7.3342,7.1171,7.1566,0.6889,49032.42,35831.432,0.04929999999999968,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200324,7.0875,7.1566,7.1862,6.9591,6.9591,2.838,49987.3,35949.609,0.1974999999999998,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200323,6.9493,6.9591,7.1467,6.8802,7.1171,-2.22,50939.85,36217.839,-0.15799999999999947,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200320,7.0776,7.1171,7.1566,7.0085,7.0381,1.1225,45663.43,32781.464,0.07899999999999974,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200319,6.8604,7.0381,7.0677,6.8506,6.9197,1.7111,49587.4,34922.036,0.11840000000000028,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200318,7.0776,6.9197,7.2651,6.9098,6.9888,-0.9887,62386.0,44823.736,-0.0691000000000006,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200317,7.0875,6.9888,7.1368,6.663,6.9591,0.4268,62225.82,43740.009,0.02970000000000006,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200316,7.5514,6.9591,7.581,6.89,7.4231,-6.2508,88573.23,65129.76,-0.4639999999999995,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200313,7.0085,7.4231,7.581,7.0085,7.6501,-2.9673,77614.78,57929.688,-0.2270000000000003,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200312,7.7784,7.6501,7.7982,7.4626,7.9166,-3.3663,89996.37,69829.128,-0.26649999999999974,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200311,8.193,7.9166,8.2226,7.9166,8.2819,-4.4108,135618.41,110923.599,-0.3653000000000004,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200310,7.6896,8.2819,8.351,7.1763,7.9759,3.8366,207955.55,166508.881,0.30600000000000005,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200309,7.6896,7.9759,8.0647,7.6008,7.7093,3.4582,171441.09,136625.215,0.2666000000000004,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200306,7.5218,7.7093,7.739,7.5218,7.7587,-0.6367,72079.02,55851.404,-0.04940000000000033,江苏,通信设备,20110505,
300211.SZ,亿通科技,20200305,7.7883,7.7587,7.966,7.6501,7.6205,1.8135,115695.54,90933.67,0.13820000000000032,江苏,通信设备,20110505,
