йЩ╬щсиw0x7ceуШюМ
╧иф╠╢ЗбК,╧иф╠цШЁф,╫╩рвхуфз,©╙ел╪ш,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,г╟йуел╪ш,╦╢х╗рРвс,Ёи╫╩а©,Ёи╫╩╤Н,╡╗╤╞,╣ьгЬ,ппр╣,иойпхуфз,мкйпхуфз
300819.SZ,╬ш╫эн╒ок,20200618,24.74,26.5,27.31,24.74,24.83,6.7257,98154.24,261837.853,1.6700000000000017,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200617,24.49,24.83,25.55,24.38,24.35,1.9713,42948.26,107561.067,0.4799999999999969,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200616,24.63,24.35,24.64,24.09,24.71,-1.4569,23966.75,58253.796,-0.35999999999999943,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200615,23.6,24.71,24.78,23.6,23.48,5.2385,36488.3,88396.142,1.2300000000000004,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200612,22.94,23.48,23.59,22.82,23.53,-0.2125,16687.89,38877.596,-0.05000000000000071,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200611,23.75,23.53,23.98,23.0,23.73,-0.8428,17865.41,42209.62,-0.1999999999999993,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200610,24.53,23.73,24.53,23.6,24.53,-3.2613,28718.02,68672.082,-0.8000000000000007,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200609,25.08,24.53,25.19,24.43,25.2,-2.6587,27101.75,66940.178,-0.6699999999999982,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200608,24.55,25.2,25.3,24.55,24.62,2.3558,29070.5,72828.561,0.5799999999999983,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200605,25.12,24.62,25.26,24.39,25.23,-2.4178,28707.28,70890.138,-0.6099999999999994,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200604,24.7,25.23,25.37,24.44,24.62,2.4777,29863.2,74448.56,0.6099999999999994,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200603,24.98,24.62,25.55,24.6,24.94,-1.2831,33031.69,82927.886,-0.3200000000000003,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200602,24.69,24.94,25.05,24.24,24.48,1.8791,28019.92,69048.589,0.46000000000000085,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200601,23.86,24.48,24.68,23.81,23.76,3.0303,26420.05,64320.804,0.7199999999999989,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200529,24.1,23.76,24.6,23.63,24.6,-3.4146,30742.75,74085.497,-0.8399999999999999,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200528,25.34,24.6,25.64,24.21,25.31,-2.8052,35384.21,87841.549,-0.7099999999999973,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200527,25.6,25.31,25.78,24.88,25.85,-2.089,45198.74,114384.601,-0.5400000000000027,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200526,24.28,25.85,25.95,24.28,24.67,4.7831,58496.5,148574.03,1.1799999999999997,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200525,24.88,24.67,25.76,24.43,24.87,-0.8042,45534.39,114441.976,-0.1999999999999993,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200522,23.98,24.87,25.58,23.07,24.15,2.9814,53588.0,130885.959,0.7200000000000024,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200521,24.94,24.15,24.94,24.03,25.07,-3.6697,31539.0,77097.544,-0.9200000000000017,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200520,24.84,25.07,25.28,24.7,24.78,1.1703,43183.01,107764.906,0.28999999999999915,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200519,24.25,24.78,24.83,24.04,24.03,3.1211,30597.65,74950.53,0.75,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200518,24.25,24.03,24.55,23.8,24.18,-0.6203,21098.4,51090.445,-0.14999999999999858,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200515,24.3,24.18,24.78,24.15,24.19,-0.0413,24332.89,59257.947,-0.010000000000001563,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200514,24.93,24.19,25.25,24.12,25.03,-3.356,38020.23,93699.338,-0.8399999999999999,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200513,25.4,25.03,25.62,24.83,25.98,-3.6567,50805.69,127766.991,-0.9499999999999993,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200512,23.99,25.98,26.14,23.8,24.25,7.134,78624.95,197777.371,1.7300000000000004,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200511,23.75,24.25,25.29,23.75,23.75,2.1053,52770.42,128451.056,0.5,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200508,23.3,23.75,23.95,23.15,23.42,1.4091,40561.36,96126.873,0.3299999999999983,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200507,23.2,23.42,23.88,22.7,22.84,2.5394,44607.19,104056.713,0.5800000000000018,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200506,22.4,22.84,22.85,22.01,22.33,2.2839,24695.49,55772.551,0.5100000000000016,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200430,22.2,22.33,22.63,22.2,21.95,1.7312,25571.94,57256.258,0.379999999999999,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200429,21.47,21.95,22.39,21.33,21.73,1.0124,28109.03,61605.739,0.21999999999999886,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200428,23.6,21.73,23.65,21.12,23.46,-7.3743,43641.86,95748.799,-1.7300000000000004,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200427,24.33,23.46,24.58,23.38,24.35,-3.655,28273.57,67633.859,-0.8900000000000006,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200424,25.55,24.35,25.9,24.0,26.05,-6.5259,49605.74,123735.059,-1.6999999999999993,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200423,25.6,26.05,26.5,25.45,25.61,1.7181,46509.26,121305.798,0.4400000000000013,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200422,25.46,25.61,25.67,25.24,25.9,-1.1197,27143.89,69049.085,-0.28999999999999915,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200421,25.39,25.9,26.39,25.25,25.72,0.6998,38515.42,99549.805,0.17999999999999972,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200420,25.53,25.72,25.77,25.11,25.47,0.9815,28801.64,73076.416,0.25,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200417,25.88,25.47,26.13,25.45,26.13,-2.5258,36064.59,92967.407,-0.6600000000000001,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200416,25.7,26.13,26.18,25.11,25.7,1.6732,40486.18,103823.706,0.4299999999999997,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200415,26.23,25.7,26.79,25.56,26.46,-2.8723,43345.64,113041.381,-0.7600000000000016,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200414,27.06,26.46,27.36,25.85,27.08,-2.2895,49210.46,129644.113,-0.6199999999999974,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200413,25.41,27.08,28.0,25.41,25.77,5.0834,71549.34,193123.801,1.3099999999999987,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200410,27.09,25.77,27.33,25.77,28.63,-9.9895,78801.67,209316.891,-2.8599999999999994,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200409,29.7,28.63,29.7,28.63,29.76,-3.797,59509.89,172788.848,-1.1300000000000026,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200408,30.01,29.76,30.8,29.51,30.69,-3.0303,68898.22,206120.905,-0.9299999999999997,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200407,30.5,30.69,31.4,29.3,30.22,1.5553,108509.18,329549.808,0.4700000000000024,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200403,28.18,30.22,31.53,28.06,28.66,5.4431,118510.04,362288.444,1.5599999999999987,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200402,27.8,28.66,28.75,27.64,28.0,2.3571,55449.84,156236.507,0.6600000000000001,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200401,28.4,28.0,28.97,27.74,28.54,-1.8921,56317.39,159499.74,-0.5399999999999991,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200331,29.5,28.54,29.94,28.33,30.7,-7.0358,76755.66,221842.24,-2.16,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200330,29.98,30.7,31.87,29.98,29.96,2.47,75446.44,233065.344,0.7399999999999984,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200327,29.95,29.96,31.29,29.4,29.62,1.1479,79271.3,239775.136,0.33999999999999986,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200326,31.3,29.62,31.69,29.62,32.9,-9.9696,93369.94,286133.14,-3.2799999999999976,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200325,32.0,32.9,34.01,31.54,32.67,0.704,99226.7,325636.906,0.22999999999999687,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200324,34.11,32.67,34.5,32.67,36.3,-10.0,112302.22,372853.495,-3.6299999999999955,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200323,40.0,36.3,40.0,34.61,38.46,-5.6162,160838.77,604860.053,-2.1600000000000037,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200320,38.46,38.46,38.46,38.46,34.96,10.0114,2198.45,8455.238,3.5,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200319,34.96,34.96,34.96,34.96,31.78,10.0063,1843.77,6445.819,3.1799999999999997,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200318,31.78,31.78,31.78,31.78,28.89,10.0035,571.29,1815.559,2.8900000000000006,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200317,28.89,28.89,28.89,28.89,26.26,10.0152,433.99,1253.797,2.629999999999999,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200316,26.26,26.26,26.26,26.26,23.87,10.0126,466.36,1224.661,2.3900000000000006,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200313,23.87,23.87,23.87,23.87,21.7,10.0,285.35,681.13,2.1700000000000017,╫╜ку,╩╞ок,20200312,
300819.SZ,╬ш╫эн╒ок,20200312,18.08,21.7,21.7,18.08,15.07,43.9947,713.25,1541.818,6.629999999999999,╫╜ку,╩╞ок,20200312,
sz300819,╬ш╫эн╒ок,2020-06-22,25.61,25.93,25.01,25.39,25.51,3409802.0,86430466.0
sz300819,╬ш╫эн╒ок,2020-06-23,25.31,25.8,25.03,25.16,25.39,2335415.0,59171224.0
sz300819,╬ш╫эн╒ок,2020-06-24,25.06,25.3,24.87,25.16,25.16,2095788.0,52508160.0
sz300819,╬ш╫эн╒ок,2020-06-30,23.89,24.16,23.82,23.91,23.86,1812382.0,43433286.0
