 ˝æ›”…w0x7ce’˚¿Ì
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,«∞ ’≈Ãº€,∏¥»®“Ú◊”,≥…Ωª¡ø,≥…Ωª∂Ó,≤®∂Ø,µÿ«¯,––“µ,…œ –»’∆⁄,ÕÀ –»’∆⁄
600307.SH,æ∆∏÷∫Í–À,20200618,1.6,1.62,1.71,1.58,1.6,1.25,943776.58,155254.204,0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200617,1.54,1.6,1.61,1.53,1.54,3.8961,718956.28,113557.004,0.06000000000000005,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200616,1.51,1.54,1.58,1.51,1.51,1.9868,504440.27,77810.133,0.030000000000000027,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200615,1.52,1.51,1.52,1.5,1.52,-0.6579,207754.27,31379.903,-0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200612,1.5,1.52,1.53,1.49,1.52,0.0,282818.11,42699.834,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200611,1.53,1.52,1.53,1.51,1.53,-0.6536,220056.0,33450.646,-0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200610,1.53,1.53,1.54,1.52,1.53,0.0,204132.31,31171.715,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200609,1.53,1.53,1.54,1.52,1.53,0.0,172955.0,26433.512,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200608,1.52,1.53,1.54,1.52,1.51,1.3245,258136.02,39394.459,0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200605,1.51,1.51,1.52,1.5,1.51,0.0,152905.81,23091.942,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200604,1.53,1.51,1.53,1.5,1.53,-1.3072,231049.02,34981.583,-0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200603,1.54,1.53,1.55,1.52,1.54,-0.6494,243522.93,37308.148,-0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200602,1.52,1.54,1.55,1.51,1.52,1.3158,443072.24,67772.495,0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200601,1.5,1.52,1.53,1.49,1.5,1.3333,327379.87,49586.502,0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200529,1.5,1.5,1.51,1.48,1.51,-0.6623,209260.59,31280.014,-0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200528,1.51,1.51,1.52,1.49,1.52,-0.6579,256545.91,38532.002,-0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200527,1.5,1.52,1.53,1.49,1.51,0.6623,369322.89,55959.823,0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200526,1.5,1.51,1.51,1.49,1.51,0.0,291564.0,43755.046,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200525,1.54,1.51,1.55,1.49,1.54,-1.9481,358349.0,54147.366,-0.030000000000000027,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200522,1.57,1.54,1.58,1.53,1.58,-2.5316,392367.0,60595.9,-0.040000000000000036,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200521,1.58,1.58,1.59,1.56,1.58,0.0,234546.2,36885.88,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200520,1.59,1.58,1.59,1.57,1.59,-0.6289,217385.03,34307.222,-0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200519,1.6,1.59,1.61,1.58,1.59,0.0,196669.0,31375.147,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200518,1.58,1.59,1.61,1.57,1.57,1.2739,311920.66,49888.639,0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200515,1.57,1.57,1.58,1.56,1.57,0.0,184904.0,29027.12,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200514,1.58,1.57,1.59,1.56,1.59,-1.2579,375170.6,58877.437,-0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200513,1.61,1.59,1.61,1.59,1.61,-1.2422,284992.21,45391.401,-0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200512,1.63,1.61,1.64,1.6,1.64,-1.8293,344477.41,55641.973,-0.029999999999999805,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200511,1.63,1.64,1.65,1.63,1.64,0.0,237080.2,38788.94,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200508,1.63,1.64,1.64,1.62,1.63,0.6135,302599.73,49420.462,0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200507,1.66,1.63,1.67,1.62,1.67,-2.3952,561307.36,92024.726,-0.040000000000000036,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200506,1.67,1.67,1.68,1.65,1.69,-1.1834,461893.55,76694.975,-0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200430,1.68,1.69,1.7,1.67,1.7,-0.5882,436522.91,73293.977,-0.010000000000000009,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200429,1.68,1.7,1.7,1.67,1.68,1.1905,225187.0,38021.147,0.020000000000000018,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200428,1.71,1.68,1.71,1.65,1.71,-1.7544,354301.8,59632.485,-0.030000000000000027,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200427,1.71,1.71,1.72,1.7,1.71,0.0,218652.0,37266.338,0.0,∏ À‡,∆’∏÷,20001220,
600307.SH,æ∆∏÷∫Í–À,20200424,1.71,1.71,1.72,1.7,1.71,0.0,182580.79,31211.449,0.0,∏ À‡,∆’∏÷,20001220,
