Êý¾ÝÓÉw0x7ceÕûÀí
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,Ç°ÊÕÅÌ¼Û,¸´È¨Òò×Ó,³É½»Á¿,³É½»¶î,²¨¶¯,µØÇø,ÐÐÒµ,ÉÏÊÐÈÕÆÚ,ÍËÊÐÈÕÆÚ
600660.SH,¸£Ò«²£Á§,20200618,20.83,21.12,21.2,20.75,20.92,0.956,97444.36,204138.157,0.1999999999999993,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200617,21.0,20.92,21.08,20.64,21.0,-0.381,107062.6,222629.051,-0.0799999999999983,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200616,21.2,21.0,21.27,20.83,20.95,0.2387,96708.63,203112.328,0.05000000000000071,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200615,21.35,20.95,21.4,20.91,21.53,-2.6939,98934.08,208827.183,-0.5800000000000018,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200612,20.62,21.53,21.63,20.51,21.1,2.0379,128741.6,272185.527,0.4299999999999997,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200611,21.4,21.1,21.49,21.03,21.32,-1.0319,105118.29,223257.066,-0.21999999999999886,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200610,22.03,21.32,22.03,21.2,22.04,-3.2668,188621.55,403940.477,-0.7199999999999989,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200609,21.68,22.04,22.13,21.44,21.71,1.52,148517.04,325213.25,0.3299999999999983,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200608,21.54,21.71,21.98,21.38,21.37,1.591,189670.53,412161.052,0.33999999999999986,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200605,20.9,21.37,21.44,20.71,20.89,2.2978,168450.91,356968.996,0.4800000000000004,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200604,20.85,20.89,21.0,20.63,20.77,0.5778,141229.59,294499.897,0.120000000000001,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200603,20.29,20.77,20.98,20.28,20.09,3.3848,259206.91,537828.367,0.6799999999999997,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200602,20.18,20.09,20.32,19.98,20.17,-0.3966,98197.69,197058.091,-0.08000000000000185,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200601,19.52,20.17,20.21,19.52,19.64,2.6986,128709.98,257122.698,0.5300000000000011,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200529,19.45,19.64,19.69,19.45,19.6,0.2041,69933.09,136750.525,0.03999999999999915,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200528,19.95,19.6,19.99,19.49,19.99,-1.951,86979.12,171169.073,-0.389999999999997,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200527,20.0,19.99,20.2,19.8,19.78,1.0617,76916.68,153711.787,0.2099999999999973,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200526,19.79,19.78,19.84,19.63,19.58,1.0215,52919.45,104391.035,0.20000000000000284,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200525,19.68,19.58,19.85,19.46,19.68,-0.5081,68006.82,133404.015,-0.10000000000000142,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200522,19.97,19.68,19.97,19.51,19.99,-1.5508,61648.04,121805.585,-0.3099999999999987,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200521,20.36,19.99,20.39,19.93,20.22,-1.1375,57211.93,115089.658,-0.23000000000000043,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200520,20.51,20.22,20.51,20.19,20.5,-1.3659,62230.1,126272.739,-0.28000000000000114,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200519,20.19,20.5,20.67,20.19,19.99,2.5513,90163.49,184196.018,0.5100000000000016,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200518,19.89,19.99,20.19,19.62,19.92,0.3514,69928.65,139442.675,0.06999999999999673,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200515,20.23,19.92,20.35,19.87,20.12,-0.994,83899.93,167946.935,-0.1999999999999993,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200514,20.4,20.12,20.47,20.08,20.48,-1.7578,85519.06,173123.693,-0.35999999999999943,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200513,20.7,20.48,20.7,20.36,20.75,-1.3012,70679.31,144740.63,-0.2699999999999996,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200512,20.95,20.75,21.0,20.34,20.95,-0.9547,104416.13,215040.664,-0.1999999999999993,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200511,20.68,20.95,21.1,20.67,20.66,1.4037,150472.67,315134.646,0.28999999999999915,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200508,20.86,20.66,21.06,20.45,20.62,0.194,204983.43,425699.509,0.03999999999999915,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200507,19.77,20.62,20.75,19.58,19.78,4.2467,234582.83,475658.518,0.8399999999999999,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200506,19.48,19.78,19.88,19.32,19.79,-0.0505,141872.74,278951.113,-0.00999999999999801,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200430,19.23,19.79,19.9,19.23,19.13,3.4501,176336.92,347204.167,0.6600000000000001,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200429,18.9,19.13,19.19,18.85,18.86,1.4316,99970.66,190665.274,0.2699999999999996,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200428,18.95,18.86,19.0,18.38,18.83,0.1593,106365.97,200010.421,0.030000000000001137,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200427,18.8,18.83,18.94,18.69,18.8,0.1596,60302.12,113662.786,0.029999999999997584,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200424,18.94,18.8,19.02,18.72,18.93,-0.6867,88059.27,165709.906,-0.129999999999999,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200423,18.87,18.93,19.08,18.83,18.81,0.638,88569.53,167900.118,0.120000000000001,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200422,18.92,18.81,18.92,18.71,18.92,-0.5814,86577.95,162753.081,-0.11000000000000298,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200421,19.19,18.92,19.2,18.8,19.24,-1.6632,130505.97,247017.674,-0.31999999999999673,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200420,19.27,19.24,19.35,18.94,19.23,0.052,121120.64,231917.021,0.00999999999999801,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200417,18.86,19.23,19.49,18.78,18.76,2.5053,256714.42,492681.286,0.46999999999999886,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200416,18.85,18.76,18.86,18.7,18.96,-1.0549,106982.06,200725.346,-0.1999999999999993,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200415,18.91,18.96,19.09,18.84,18.88,0.4237,128355.74,243231.198,0.08000000000000185,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200414,18.8,18.88,18.9,18.65,18.77,0.586,106695.95,200769.68,0.10999999999999943,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200413,18.86,18.77,18.95,18.68,18.85,-0.4244,77797.61,146106.892,-0.08000000000000185,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200410,18.98,18.85,19.08,18.8,18.87,-0.106,118311.17,223645.495,-0.019999999999999574,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200409,18.91,18.87,18.98,18.8,18.85,0.1061,96800.57,182692.175,0.019999999999999574,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200408,18.8,18.85,18.96,18.58,19.02,-0.8938,140680.6,264548.037,-0.16999999999999815,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200407,19.0,19.02,19.15,18.78,18.76,1.3859,226059.72,428082.091,0.259999999999998,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200403,18.9,18.76,18.97,18.65,18.86,-0.5302,143622.63,270129.218,-0.09999999999999787,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200402,18.86,18.86,18.88,18.49,18.86,0.0,144042.13,269019.8,0.0,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200401,19.0,18.86,19.36,18.8,19.18,-1.6684,128114.24,244202.439,-0.3200000000000003,¸£½¨,Æû³µÅä¼þ,19930610,
600660.SH,¸£Ò«²£Á§,20200331,19.1,19.18,19.28,18.87,18.91,1.4278,121092.05,231408.485,0.2699999999999996,¸£½¨,Æû³µÅä¼þ,19930610,
