杅擂蚕w0x7ce淕燴
嘖き測鎢,嘖き靡備,蝠眢�梪�,羲攫歎,彶攫歎,郔詢歎,郔腴歎,ヶ彶攫歎,葩�例藦�,傖蝠講,傖蝠塗,疏雄,華⑹,俴珛,奻庈�梪�,豖庈�梪�
601865.SH,腦應杻,20200618,14.98,15.09,15.45,14.92,15.04,0.3324,63303.83,96264.482,0.05000000000000071,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200617,15.1,15.04,15.15,14.8,15.1,-0.3974,66807.32,99915.347,-0.0600000000000005,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200616,15.11,15.1,15.25,14.86,15.1,0.0,60472.99,91026.128,0.0,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200615,15.61,15.1,15.69,14.88,15.7,-3.8217,99859.31,152302.524,-0.5999999999999996,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200612,14.87,15.7,15.72,14.72,15.2,3.2895,106627.0,163172.068,0.5,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200611,14.89,15.2,15.28,14.7,14.82,2.5641,107361.01,161587.76,0.379999999999999,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200610,14.84,14.82,15.58,14.6,15.1,-1.8543,127060.12,191105.257,-0.27999999999999936,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200609,14.33,15.1,15.16,14.16,14.26,5.8906,136027.32,199456.116,0.8399999999999999,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200608,13.79,14.26,14.37,13.79,13.98,2.0029,85446.2,121296.561,0.27999999999999936,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200605,13.82,13.98,14.05,13.5,13.88,0.7205,80096.77,110640.527,0.09999999999999964,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200604,13.48,13.88,14.07,13.48,13.48,2.9674,101377.38,140879.7,0.40000000000000036,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200603,13.8,13.48,13.8,13.38,13.69,-1.534,99038.08,134759.302,-0.20999999999999908,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200602,13.55,13.69,13.8,13.36,13.43,1.936,103551.85,141589.641,0.2599999999999998,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200601,13.12,13.43,13.58,12.95,13.02,3.149,113460.48,151069.185,0.41000000000000014,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200529,12.94,13.02,13.07,12.74,13.09,-0.5348,77567.06,100654.536,-0.07000000000000028,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200528,12.94,13.09,13.11,12.71,12.96,1.0031,88253.05,114274.594,0.129999999999999,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200527,13.34,12.96,13.36,12.8,13.54,-4.2836,146323.59,191443.118,-0.5799999999999983,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200526,13.26,13.54,13.58,13.11,13.25,2.1887,133695.39,178677.108,0.28999999999999915,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200525,13.69,13.25,13.79,12.92,13.55,-2.214,142910.24,189232.219,-0.3000000000000007,涳蔬,產薛,20190215,
601865.SH,腦應杻,20200522,13.44,13.55,13.85,13.24,13.5,0.3704,197414.86,267694.49,0.05000000000000071,涳蔬,產薛,20190215,
