йЩ╬щсиw0x7ceуШюМ
╧иф╠╢ЗбК,╧иф╠цШЁф,╫╩рвхуфз,©╙ел╪ш,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,г╟йуел╪ш,╦╢х╗рРвс,Ёи╫╩а©,Ёи╫╩╤Н,╡╗╤╞,╣ьгЬ,ппр╣,иойпхуфз,мкйпхуфз
603609.SH,╨л╥Адар╣,20200618,14.77,14.92,15.05,14.67,14.87,0.3362,91568.35,135986.846,0.05000000000000071,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200617,14.79,14.87,15.07,14.66,14.76,0.7453,117161.79,174184.273,0.10999999999999943,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200616,15.11,14.76,15.11,14.59,14.83,-0.472,120527.61,177224.792,-0.07000000000000028,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200615,13.88,14.83,15.18,13.88,13.88,6.8444,208309.8,307674.822,0.9499999999999993,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200612,13.83,13.88,13.95,13.65,14.2,-2.2535,111938.33,154559.852,-0.3199999999999985,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200611,14.9,14.2,14.99,14.13,14.87,-4.5057,138297.09,200245.259,-0.6699999999999999,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200610,14.28,14.87,15.2,14.21,14.28,4.1317,158663.37,236502.637,0.5899999999999999,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200609,14.17,14.28,14.45,14.01,14.04,1.7094,78026.55,111162.539,0.2400000000000002,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200608,13.99,14.04,14.13,13.82,13.95,0.6452,52165.28,72935.391,0.08999999999999986,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200605,14.32,13.95,14.32,13.67,14.38,-2.9903,108155.2,150323.68,-0.4300000000000015,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200604,14.48,14.38,14.86,14.31,14.47,-0.622,72827.79,105739.947,-0.08999999999999986,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200603,14.39,14.47,14.63,14.19,14.29,1.2596,80746.46,116693.533,0.1800000000000015,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200602,14.41,14.29,14.66,14.15,14.23,0.4216,86929.71,124796.876,0.05999999999999872,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200601,14.045,14.2322,14.3307,13.9662,13.9859,1.7611,62527.8,90204.802,0.24629999999999974,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200529,13.8677,13.9859,14.0844,13.8283,13.9465,0.2825,48374.46,68715.843,0.039400000000000546,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200528,14.1337,13.9465,14.242,13.6018,14.1337,-1.3245,76984.68,108822.735,-0.18719999999999892,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200527,14.2125,14.1337,14.5375,14.0647,14.2125,-0.5544,67986.36,98632.732,-0.07880000000000109,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200526,14.0253,14.2125,14.2913,13.9268,14.0746,0.9798,60349.92,86675.116,0.13790000000000013,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200525,13.8185,14.0746,14.2716,13.8185,14.0056,0.4927,70949.69,101623.99,0.06900000000000084,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200522,13.8776,14.0056,14.1632,13.7397,13.9662,0.2821,94640.27,134292.025,0.03939999999999877,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200521,14.3602,13.9662,14.5178,13.8874,14.3405,-2.6101,99375.19,142294.868,-0.37429999999999986,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200520,14.4488,14.3405,14.5079,14.1435,14.4784,-0.9525,83630.78,121493.475,-0.13790000000000013,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200519,14.6951,14.4784,14.7246,14.3011,14.5079,-0.2033,75347.42,110655.106,-0.02949999999999875,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200518,14.2322,14.5079,14.6261,14.1041,14.2322,1.9372,114128.58,167061.411,0.2756999999999987,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200515,14.3307,14.2322,14.6557,14.1829,14.3405,-0.7552,117952.51,172571.047,-0.10829999999999984,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200514,15.2762,14.3405,15.2762,14.2519,15.3845,-6.7861,216773.76,322504.835,-1.0439999999999987,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200513,14.8724,15.3845,15.483,14.7345,14.8428,3.6496,172830.93,266428.925,0.5416999999999987,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200512,14.9118,14.8428,15.0398,14.6557,14.9413,-0.6592,86656.29,130520.451,-0.09849999999999959,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200511,15.0201,14.9413,15.2466,14.7345,14.9709,-0.1977,123541.51,187219.352,-0.029600000000000293,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200508,15.1481,14.9709,15.2171,14.7739,15.0792,-0.7182,132564.35,201975.46,-0.10829999999999984,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200507,15.0004,15.0792,15.4929,14.8527,15.0595,0.1308,161439.48,248977.086,0.019700000000000273,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200506,14.7148,15.0595,15.2171,14.6557,14.7345,2.2057,148695.22,225895.777,0.3249999999999993,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200430,15.0595,14.7345,15.2072,14.6261,15.0004,-1.7726,181354.27,272769.076,-0.26590000000000025,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200429,15.6603,15.0004,15.6603,14.9413,15.7588,-4.8125,189079.95,292481.029,-0.7584,аидЧ,кгао,20140808,
603609.SH,╨л╥Адар╣,20200428,15.552,15.7588,15.9065,15.1974,15.6012,1.0102,241754.76,382593.967,0.1576000000000004,аидЧ,кгао,20140808,
