数据由w0x7ce整理
股票代码,股票名称,交易日期,开盘价,收盘价,最高价,最低价,前收盘价,复权因子,成交量,成交额,波动,地区,行业,上市日期,退市日期
603767.SH,中马传动,20200618,6.83,6.85,6.89,6.8,6.86,-0.1458,7927.19,5426.239,-0.010000000000000675,浙江,汽车配件,20170613,
603767.SH,中马传动,20200617,6.91,6.86,6.91,6.81,6.89,-0.4354,12930.86,8843.741,-0.02999999999999936,浙江,汽车配件,20170613,
603767.SH,中马传动,20200616,6.86,6.89,6.93,6.85,6.86,0.4373,10543.2,7256.276,0.02999999999999936,浙江,汽车配件,20170613,
603767.SH,中马传动,20200615,7.05,6.86,7.05,6.84,6.96,-1.4368,22175.8,15312.378,-0.09999999999999964,浙江,汽车配件,20170613,
603767.SH,中马传动,20200612,6.93,6.96,7.02,6.78,6.96,0.0,17940.8,12424.547,0.0,浙江,汽车配件,20170613,
603767.SH,中马传动,20200611,6.91,6.96,7.03,6.88,6.92,0.578,10513.0,7322.859,0.040000000000000036,浙江,汽车配件,20170613,
603767.SH,中马传动,20200610,7.0,6.92,7.0,6.91,7.02,-1.4245,10127.8,7015.138,-0.09999999999999964,浙江,汽车配件,20170613,
603767.SH,中马传动,20200609,7.0,7.02,7.04,6.98,7.0,0.2857,11760.6,8240.025,0.019999999999999574,浙江,汽车配件,20170613,
603767.SH,中马传动,20200608,7.04,7.0,7.15,6.95,7.1,-1.4085,16769.8,11784.107,-0.09999999999999964,浙江,汽车配件,20170613,
603767.SH,中马传动,20200605,7.13,7.1,7.26,7.01,7.13,-0.4208,21540.8,15326.828,-0.03000000000000025,浙江,汽车配件,20170613,
603767.SH,中马传动,20200604,7.0,7.13,7.18,7.0,6.99,2.0029,31028.2,22103.79,0.13999999999999968,浙江,汽车配件,20170613,
603767.SH,中马传动,20200603,6.9,6.99,7.08,6.9,6.92,1.0116,20123.66,14086.517,0.07000000000000028,浙江,汽车配件,20170613,
603767.SH,中马传动,20200602,6.9,6.92,6.97,6.89,6.9,0.2899,14794.26,10241.905,0.019999999999999574,浙江,汽车配件,20170613,
603767.SH,中马传动,20200601,6.8,6.9,6.91,6.8,6.8,1.4706,24848.66,17062.642,0.10000000000000053,浙江,汽车配件,20170613,
603767.SH,中马传动,20200529,6.84,6.8,6.92,6.78,6.84,-0.5848,16371.8,11208.416,-0.040000000000000036,浙江,汽车配件,20170613,
603767.SH,中马传动,20200528,6.86,6.84,6.92,6.76,6.85,-0.146,9751.46,6655.582,-0.009999999999999787,浙江,汽车配件,20170613,
603767.SH,中马传动,20200527,6.81,6.85,6.87,6.75,6.77,1.1817,10955.46,7456.865,0.08000000000000007,浙江,汽车配件,20170613,
603767.SH,中马传动,20200526,6.88,6.77,6.88,6.74,6.76,0.1479,13994.4,9500.325,0.009999999999999787,浙江,汽车配件,20170613,
603767.SH,中马传动,20200525,6.8672,6.7603,6.8672,6.7215,6.8381,-1.1377,13354.86,9314.057,-0.07779999999999987,浙江,汽车配件,20170613,
603767.SH,中马传动,20200522,6.906,6.8381,6.974,6.7409,6.906,-0.9832,11326.8,7982.207,-0.06789999999999985,浙江,汽车配件,20170613,
603767.SH,中马传动,20200521,6.8478,6.906,7.1294,6.8478,6.8478,0.8499,25007.06,17940.637,0.05819999999999936,浙江,汽车配件,20170613,
603767.SH,中马传动,20200520,6.8478,6.8478,6.9158,6.8186,6.8575,-0.1415,12978.0,9154.179,-0.009699999999999598,浙江,汽车配件,20170613,
603767.SH,中马传动,20200519,6.906,6.8575,6.9255,6.8381,6.8672,-0.1413,9481.5,6695.995,-0.009700000000000486,浙江,汽车配件,20170613,
603767.SH,中马传动,20200518,7.0226,6.8672,7.0226,6.8381,6.8769,-0.1411,13426.4,9502.819,-0.009699999999999598,浙江,汽车配件,20170613,
603767.SH,中马传动,20200515,6.8283,6.8769,6.9352,6.8089,6.8283,0.7117,12309.7,8711.308,0.04860000000000042,浙江,汽车配件,20170613,
603767.SH,中马传动,20200514,6.8575,6.8283,6.8963,6.7992,6.9255,-1.4035,14229.86,10021.493,-0.09720000000000084,浙江,汽车配件,20170613,
603767.SH,中马传动,20200513,6.8769,6.9255,6.9837,6.8283,6.8963,0.4234,12195.8,8673.068,0.029200000000000337,浙江,汽车配件,20170613,
603767.SH,中马传动,20200512,6.906,6.8963,6.9449,6.7992,6.906,-0.1405,15171.7,10706.188,-0.009699999999999598,浙江,汽车配件,20170613,
603767.SH,中马传动,20200511,6.8963,6.906,6.974,6.8672,6.8866,0.2817,13413.4,9560.076,0.019400000000000084,浙江,汽车配件,20170613,
603767.SH,中马传动,20200508,6.6146,6.8866,6.9546,6.6146,6.8381,0.7093,14555.9,10287.905,0.048499999999999766,浙江,汽车配件,20170613,
603767.SH,中马传动,20200507,6.9837,6.8381,7.0226,6.8186,6.9837,-2.0849,21868.2,15516.579,-0.14559999999999995,浙江,汽车配件,20170613,
603767.SH,中马传动,20200506,6.5564,6.9837,6.9837,6.5564,6.7409,3.6019,19179.6,13393.273,0.2427999999999999,浙江,汽车配件,20170613,
603767.SH,中马传动,20200430,6.7118,6.7409,6.8575,6.7021,6.7118,0.4336,18925.0,13166.428,0.02909999999999968,浙江,汽车配件,20170613,
603767.SH,中马传动,20200429,6.5369,6.7118,6.8769,6.5369,6.6244,1.3194,27208.4,18813.622,0.08740000000000059,浙江,汽车配件,20170613,
603767.SH,中马传动,20200428,7.0226,6.6244,7.0226,6.2747,6.9643,-4.8806,50364.76,34414.08,-0.3399000000000001,浙江,汽车配件,20170613,
603767.SH,中马传动,20200427,7.5763,6.9643,7.5763,6.9546,7.3043,-4.6548,40514.0,30165.659,-0.33999999999999986,浙江,汽车配件,20170613,
603767.SH,中马传动,20200424,7.4985,7.3043,7.4985,7.1489,7.5083,-2.717,59603.95,44788.316,-0.20400000000000063,浙江,汽车配件,20170613,
603767.SH,中马传动,20200423,7.7705,7.5083,7.8482,7.4888,7.7705,-3.3743,67710.33,52938.526,-0.2622,浙江,汽车配件,20170613,
603767.SH,中马传动,20200422,7.7025,7.7705,7.7899,7.5568,7.7705,0.0,68442.2,53880.343,0.0,浙江,汽车配件,20170613,
603767.SH,中马传动,20200421,7.45,7.7705,7.9259,7.4306,7.5957,2.3013,116334.98,92497.029,0.1748000000000003,浙江,汽车配件,20170613,
603767.SH,中马传动,20200420,7.4403,7.5957,7.6248,7.2849,7.4694,1.6909,61474.8,46978.014,0.12629999999999963,浙江,汽车配件,20170613,
603767.SH,中马传动,20200417,7.3043,7.4694,7.7414,7.2654,7.2169,3.4987,105021.15,81605.318,0.2525000000000004,浙江,汽车配件,20170613,
603767.SH,中马传动,20200416,7.2849,7.2169,7.2849,7.1586,7.2849,-0.9334,17678.58,13119.85,-0.0680000000000005,浙江,汽车配件,20170613,
